Fusion Name	Gene 1 Symbol	Gene 2 Symbol
NDUFB6:PRDX2	NDUFB6	PRDX2
NBR1:NDUFB6	NBR1	NDUFB6
PGM2L1:SPRED1	PGM2L1	SPRED1
ABRAXAS2:SVIP	ABRAXAS2	SVIP
TSC1:DRG1	TSC1	DRG1
HNRNPH1:HPRT1	HNRNPH1	HPRT1
PCM1:SFXN1	PCM1	SFXN1
PIK3C3:DOK5	PIK3C3	DOK5
GARNL3:UBE2A	GARNL3	UBE2A
MAP2:ERRFI1	MAP2	ERRFI1
APOL2:MAP2	APOL2	MAP2
SORL1:NEBL	SORL1	NEBL
ZNF398:UBE2K	ZNF398	UBE2K
CCPG1:PIK3C3	CCPG1	PIK3C3
PNRC1:GNB1	PNRC1	GNB1
HSPA12A:MRPS21	HSPA12A	MRPS21
NEDD4:ITM2B	NEDD4	ITM2B
GRIPAP1:RGS8	GRIPAP1	RGS8
CDH9:LAPTM4A	CDH9	LAPTM4A
LAPTM4A:LONRF2	LAPTM4A	LONRF2
KIF2A:GNB1	KIF2A	GNB1
IFT80:UBL5	IFT80	UBL5
AFF4:CAPNS1	AFF4	CAPNS1
GNB5:ZNF770	GNB5	ZNF770
PCDHA6:RPN2	PCDHA6	RPN2
PFN2:NF1	PFN2	NF1
PFN2:PHB2	PFN2	PHB2
ESCO1:ASNS	ESCO1	ASNS
ACAT1:UPF3A	ACAT1	UPF3A
MGLL:RAB2B	MGLL	RAB2B
ZNF532:ZNF236	ZNF532	ZNF236
TMED7:SCARF1	TMED7	SCARF1
IPCEF1:LRRC58	IPCEF1	LRRC58
CLASP2:NUCB2	CLASP2	NUCB2
EPB41L3:FEZ1	EPB41L3	FEZ1
SEMA5B:VAMP2	SEMA5B	VAMP2
GNE:RNF13	GNE	RNF13
TRPM3:MT1E	TRPM3	MT1E
KAT6A:TESPA1	KAT6A	TESPA1
RABL2B:ATG14	RABL2B	ATG14
DDX1:CRYZL1	DDX1	CRYZL1
MRPL42:MOXD1	MRPL42	MOXD1
ADGRL1:MICALL2	ADGRL1	MICALL2
LIN52:RABL2B	LIN52	RABL2B
COMMD9:RAB21	COMMD9	RAB21
TPTEP2-CSNK1E:RAB21	TPTEP2-CSNK1E	RAB21
CAMK2A:ZFAND3	CAMK2A	ZFAND3
CAMK2A:TCEAL3	CAMK2A	TCEAL3
RORB:ATP2B1	RORB	ATP2B1
RPL31:KYAT3	RPL31	KYAT3
SEL1L:CKB	SEL1L	CKB
FAM50A:ATG12	FAM50A	ATG12
RAB7A:TTLL7	RAB7A	TTLL7
SERF1A:SRP9	SERF1A	SRP9
AP1G1:ARF1	AP1G1	ARF1
RPS3A:GNAQ	RPS3A	GNAQ
HINT1:RNF175	HINT1	RNF175
MARCHF6:CBX6	MARCHF6	CBX6
BHMT:HGSNAT	BHMT	HGSNAT
BTF3:CCT6A	BTF3	CCT6A
ABT1:ENSG00000255330	ABT1	ENSG00000255330
SYBU:GNAS	SYBU	GNAS
SLC18B1:CFAP36	SLC18B1	CFAP36
SLC4A10:RAB12	SLC4A10	RAB12
RPL41:ZNF385B	RPL41	ZNF385B
CTNNB1:SPAG16	CTNNB1	SPAG16
SVBP:RETREG2	SVBP	RETREG2
PMVK:PTPRG	PMVK	PTPRG
TAGLN3:HNRNPU	TAGLN3	HNRNPU
TMEM108:COA6	TMEM108	COA6
GJA1:TBC1D32	GJA1	TBC1D32
F8:MBNL1	F8	MBNL1
UBE3B:NPIPA9	UBE3B	NPIPA9
SREBF2:HIRIP3	SREBF2	HIRIP3
IFNAR2:TRAPPC14	IFNAR2	TRAPPC14
GON7:QDPR	GON7	QDPR
NRSN1:DST	NRSN1	DST
ITPKB:ENAH	ITPKB	ENAH
PLEKHA6:UPK3BL1	PLEKHA6	UPK3BL1
SUSD4:EIF1	SUSD4	EIF1
SMIM26:CALM2	SMIM26	CALM2
TSPYL1:CIAO1	TSPYL1	CIAO1
ZNF398:MRPS5	ZNF398	MRPS5
UBXN4:SCOC	UBXN4	SCOC
TRRAP:UBXN4	TRRAP	UBXN4
MINDY1:ANXA9	MINDY1	ANXA9
ENSG00000267645:PKP4	ENSG00000267645	PKP4
MRPL9:KAT6B	MRPL9	KAT6B
GALM:MRPL58	GALM	MRPL58
NSUN5:POM121	NSUN5	POM121
RNF41:SULT4A1	RNF41	SULT4A1
OLFM1:VPS13A	OLFM1	VPS13A
EFCAB6:ATXN10	EFCAB6	ATXN10
ITM2B:TMEM160	ITM2B	TMEM160
EOLA2:ATP5IF1	EOLA2	ATP5IF1
LPCAT4:PNCK	LPCAT4	PNCK
BRSK2:UQCR11	BRSK2	UQCR11
TCTA:DDX10	TCTA	DDX10
ITFG1:ATP5F1A	ITFG1	ATP5F1A
RSPRY1:RPS4Y1	RSPRY1	RPS4Y1
FAM210B:PDE5A	FAM210B	PDE5A
SLC12A5:BMERB1	SLC12A5	BMERB1
RAB22A:PHAX	RAB22A	PHAX
MIGA1:RAB22A	MIGA1	RAB22A
PAIP2B:FLOT1	PAIP2B	FLOT1
SNRNP27:RPL26	SNRNP27	RPL26
DTD2:FCHSD2	DTD2	FCHSD2
TCTA:SLC12A8	TCTA	SLC12A8
SCD5:LRP10	SCD5	LRP10
SLC35B4:SCD5	SLC35B4	SCD5
ZDHHC24:IFT22	ZDHHC24	IFT22
NAP1L5:GAD1	NAP1L5	GAD1
HERC2:BRI3	HERC2	BRI3
ATP6V1F:CNBP	ATP6V1F	CNBP
CLN6:HSP90B1	CLN6	HSP90B1
RPP21:DPP6	RPP21	DPP6
SRGAP3:FBXL16	SRGAP3	FBXL16
MACF1:C1orf122	MACF1	C1orf122
THEM4:ZNF835	THEM4	ZNF835
SUMF2:MRPS5	SUMF2	MRPS5
MIGA1:RBM48	MIGA1	RBM48
ANAPC11:ATP6V1F	ANAPC11	ATP6V1F
MLLT1:PPIA	MLLT1	PPIA
PRRG3:FAM200B	PRRG3	FAM200B
RBM48:DCTN5	RBM48	DCTN5
KIF21A:PRPSAP1	KIF21A	PRPSAP1
